ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
4685,Ryoko Kizaki,Japan,6/21/1985,Kyoto,0,0,0,Women's Marathon
4686,Anna Kjellberg,Sweden,2/14/1984,LERUM (SWE),0,0,0,Women's Elliott 6m
4687,Kathrin Klaas,Germany,2/6/1984,HAIGER,0,0,0,Women's Hammer Throw
4688,Jozef Klaassen,Netherlands,3/5/1983,,0,0,0,Men's Eight
4689,Paula Klamburg Roque,Spain,9/20/1989,Barcelona (ESP),0,0,0,Women's Teams
4690,Rachel Klamer,Netherlands,10/8/1990,Harare (ZIM),0,0,0,Women's Triathlon
4691,Matyas Klang,CzechRepublic,6/7/1991,,0,0,0,Men's Four
4692,Hana Klapalova,CzechRepublic,3/29/1982,,0,0,0,Women's Beach Volleyball
4693,Gauthier Klauss,France,12/17/1987,EPINAL,0,0,0,Men's Canoe Double (C2)
4694,Frithjof Kleen,Germany,6/25/1983,Berlin,0,0,0,Men's Star
4695,Benjamin Kleibrink,Germany,7/30/1985,,0,0,0,"Men's Individual Foil, Men's Team Foil"
4696,Sascha Klein,Germany,9/12/1985,ESCHWEILER,0,0,0,"Men's 10m Platform, Men's Synchronised 10m Platform"
4697,Nadine Kleinert,Germany,10/20/1975,Magdeburg,0,0,0,Women's Shot Put
4698,Linas Kleiza,Lithuania,1/3/1985,,0,0,0,Men's Basketball
4699,Aleksandra J Klejnowska-Krzywanska,Poland,12/17/1982,Lubin,0,0,0,Women's 53kg
4700,Lukasz Klekot,Poland,5/13/1989,Katowice,0,0,0,Men's Modern Pentathlon
4701,Meindert Klem,Netherlands,10/16/1987,,0,0,0,Men's Pair
4702,Blaza Klemencic,Slovenia,3/11/1980,Kranj (SLO),0,0,0,Women's Cross-country
4703,Andreja Klepac,Slovenia,3/13/1986,,0,0,0,Women's Doubles
4704,Valentyn Kletskoy,Ukraine,1/11/1985,,0,0,0,Men's Eight
4705,Gideon Kliger,Israel,3/30/1980,PETACH TIQVA (ISR),0,0,0,Men's 470
4706,Jarmila Klimesova,CzechRepublic,2/9/1981,Sumperk (CZE),0,0,0,Women's Javelin Throw
4707,Ingrid Klimke,Germany,4/1/1968,MUNSTER,1,0,0,"Individual Eventing, Team Eventing, BUTTS ABRAXXAS"
4708,Alexei Klimov,Russia,8/27/1975,Tomsk,0,0,0,Men's 25m Rapid Fire Pistol
4709,Anja Klinar,Slovenia,4/3/1988,Jesenice (SLO),0,0,0,"Women's 200m Butterfly, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
4710,Meghan Klingenberg,USA,8/2/1988,,0,0,0,Women's Football
4711,Martin Klizan,Slovakia,7/11/1989,,0,0,0,"Men's Singles, Men's Doubles"
4712,Ivan Kljakovic Gaspic,Croatia,5/24/1984,Split (CRO),0,0,0,Men's Finn
4713,Tomas Klobucnik,Slovakia,6/21/1990,Topolcany (SVK),0,0,0,Men's 200m Breaststroke
4714,Lucia Klocova,Slovakia,11/20/1983,Martin (SVK),0,0,0,"Women's 800m, Women's 1500m"
4715,Dmitriy Klokov,Russia,2/18/1983,Moscow Region,0,0,0,Men's 105kg
4716,Christiane Klopsch,Germany,8/21/1990,BUTZBACH,0,0,0,Women's 4 x 400m Relay
4717,Timm Klose,Switzerland,5/9/1988,,0,0,0,Men's Football
4718,Eliska Klucinova,CzechRepublic,4/14/1988,Praha (CZE),0,0,0,Women's Heptathlon
4719,Roger Kluge,Germany,2/5/1986,EISENHUTTENSTADT,0,0,0,Men's Omnium
4720,Katarzyna Klys,Poland,4/23/1986,BIELSKO,0,0,0,Women's -70kg
4721,Ivana Kmetova,Slovakia,1/30/1985,,0,0,0,"Women's Kayak Single (K1) 200m, Women's Kayak Double (K2) 500m"
4722,Ruben Knab,Netherlands,2/19/1988,,0,0,0,Men's Four
4723,Miroslava Knapkova,CzechRepublic,9/19/1980,,0,0,0,Women's Single Sculls
4724,Milena Knezevic,Montenegro,3/12/1990,,0,0,0,Women's Handball
4725,Bianca Knight,USA,1/2/1989,Jackson,0,0,0,Women's 4 x 100m Relay
4726,Nizar Knioua,Tunisia,6/8/1983,,0,0,0,Men's Basketball
4727,Sven Knipphals,Germany,9/20/1985,Hannover,0,0,0,Men's 4 x 100m Relay
4728,Eric Knittel,Germany,4/20/1983,,0,0,0,Men's Double Sculls
4729,Jennifer Knobbs,GreatBritain,5/19/1989,Toronto (CAN),0,0,0,Women's Teams
4730,Jan Felix Knobel,Germany,1/16/1989,BAD HOMBURG,0,0,0,Men's Decathlon
4731,Mark Knowles,Australia,3/10/1984,,0,0,0,Men's Hockey
4732,Bronwen Knox,Australia,4/16/1986,Brisbane (AUS),0,0,0,Women's Water Polo
4733,Michael Knudsen,Denmark,9/4/1978,,0,0,0,Men's Handball
4734,Hanna Knyazyeva,Ukraine,9/25/1989,Kyiv Region,0,0,0,Women's Triple Jump
4735,Kyungsoo Ko,SouthKorea,2/5/1985,,0,0,0,Men's Handball
4736,Sung Hyun Ko,SouthKorea,5/21/1987,Seoul,0,0,0,Men's Doubles
4737,Marthe Koala,BurkinaFaso,3/8/1994,BOBO,0,0,0,Women's 100m Hurdles
4738,Chisa Kobayashi,Japan,12/12/1987,Kyoto,0,0,0,"Women's Duets, Women's Teams"
4739,Primoz Kobe,Slovenia,5/23/1981,Novo Mesto (SLO),0,0,0,Men's Marathon
4740,Gerard Kobeane,BurkinaFaso,4/24/1988,KARANKASO VIGUE (BUR),0,0,0,Men's 100m
4741,Daniyar Kobonov,Kyrgyzstan,9/8/1982,KYRGYZ REPUBLIC (KGZ),0,0,0,Men's 74kg Greco-Roman
4742,Yuki Kobori,Japan,11/25/1993,Ishikawa,0,0,0,Men's 4x200m Freestyle Relay
4743,Kristel Kobrich,Chile,8/9/1985,Santiago (CHI),0,0,0,"Women's 400m Freestyle, Women's 800m Freestyle"
4744,Gulsah Kocaturk,Turkey,1/1/1986,Izmir (TUR),0,0,0,Women's +78kg
4745,Henriette Koch,Denmark,4/3/1985,ALLEROD (DEN),0,0,0,Women's 470
4746,Marco Koch,Germany,1/25/1990,DARMSTADT,0,0,0,Men's 200m Breaststroke
4747,Flavius Koczi,Romania,8/26/1987,RESITA,0,0,0,"Men's Team, Men's Qualification"
4748,Cherono Koech,Kenya,8/12/1992,Kericho (KEN),0,0,0,Women's 800m
4749,Isiah Kiplangat Koech,Kenya,12/19/1993,Nandi (KEN),0,0,0,Men's 5000m
4750,Vera Koedooder,Netherlands,10/31/1983,Hoorn (NED),0,0,0,Women's Team Pursuit
4751,Andres Kogovsek,Argentina,1/7/1974,,0,0,0,Men's Handball
4752,Tahmina Kohistani,Afghanistan,6/18/1989,KAPISA (AFG),0,0,0,Women's 100m
4753,Kara Kohler,USA,1/20/1991,,0,0,1,Women's Quadruple Sculls
4754,Fabienne Kohlmann,Germany,11/6/1989,Wurzburg,0,0,0,Women's 4 x 400m Relay
4755,Martina Kohlova,Slovakia,11/16/1984,,0,0,0,Women's Kayak Double (K2) 500m
4756,Byron Kokalanis,Greece,8/19/1985,Marousi (GRE),0,0,0,Men's RS-X
4757,Roland Kokeny,Hungary,10/24/1975,,0,0,0,Men's Kayak Double (K2) 1000m
4758,Konstantinos Kokkinakis,Greece,10/9/1975,Ioannina (GRE),0,0,0,Men's Water Polo
4759,Nikita Kokorin,Kazakhstan,7/22/1989,Almaty (KAZ),0,0,0,Men's Water Polo
4760,Asmir Kolasinac,Serbia,10/15/1984,SKOPLJE (MKD),0,0,0,Men's Shot Put
4761,Marek Kolbowicz,Poland,6/11/1971,,0,0,0,Men's Quadruple Sculls
4762,Lyudmila Kolchanova,Russia,10/1/1979,KOSTROMA REGION,0,0,0,Women's Long Jump
4763,Yoan Kolev,Bulgaria,7/23/1991,Varna (BUL),0,0,0,Men's RS-X
4764,Enrico Kolling,Germany,2/27/1990,Berlin,0,0,0,Men's Light Heavy (81kg)
4765,Stefan Kollner,Germany,9/11/1984,Potsdam,0,0,0,Men's Modern Pentathlon
4766,Alexandr Kolobnev,Russia,5/4/1981,GORKIY REGION,0,0,0,Men's Road Race
4767,Violetta Kolobova,Russia,7/27/1991,,0,0,0,"Women's Individual Epee, Women's Team Epee"
4768,Kristyna Kolocova,CzechRepublic,4/1/1988,,0,0,0,Women's Beach Volleyball
4769,Evgeniia Kolodko,Russia,7/22/1990,Irkutsk Region,0,0,0,Women's Shot Put
4770,Pawel Kolodzinski,Poland,1/7/1988,GDANSK,0,0,0,Men's 49er
4771,Irfan Kolothum Thodi,India,2/8/1990,KEEZHUPARAMBA (IND),0,0,0,Men's 20km Race Walk
4772,Mikayel Koloyan,Armenia,6/21/1983,Yerevan (ARM),0,0,0,Men's 100m Freestyle
4773,Yulia Koltunova,Russia,5/4/1989,Volgograd,0,0,0,Women's 10m Platform
4774,Alexa Komarnycky,Canada,10/5/1989,Toronto (CAN),0,0,0,Women's 800m Freestyle
4775,Rika Komazawa,Japan,6/7/1982,SENNAN,0,0,0,Women's Hockey
4776,Victoria Komova,Russia,1/30/1995,Voronezh,0,2,0,"Women's Individual All-Around, Women's Team, Women's Qualification"
4777,Nanthana Komwong,Thailand,9/13/1980,LAMPANG (THA),0,0,0,Women's Singles
4778,Moussa Konate,Senegal,4/3/1993,,0,0,0,Men's Football
4779,Yuliya Kondakova,Russia,12/4/1981,Leningrad,0,0,0,Women's 100m Hurdles
4780,Ai Kondo,Japan,11/5/1980,SAGAMIHARA,0,0,0,Women's 470
4781,Nataliya Kondratyeva,Russia,4/28/1986,Kuybyshev,0,0,0,Women's -48kg
4782,Kinapeya Romeo Kone,CoteIvoire,9/1/1979,KORHOGO,0,0,0,Men's -90kg
4783,Oumar Kone,Mali,2/11/1985,Bamako,0,0,0,Men's -100kg
4784,Martin Konecny,CzechRepublic,8/6/1984,Praha (CZE),0,0,0,Men's Qualification
4785,Aneta Konieczna,Poland,5/11/1978,,0,0,0,"Women's Kayak Single (K1) 500m, Women's Kayak Four (K4) 500m"
4786,Maryna Konieva,Ukraine,10/19/1987,Kharkiv,0,0,0,Women's +67kg
4787,Yukari Konishi,Japan,1/11/1979,Hokkaido,0,0,0,"Women's 10m Air Pistol, Women's 25m Pistol"
4788,Nataliya Kononenko,Ukraine,8/25/1994,Kyiv,0,0,0,Women's Qualification
4789,Oleksandr Konovaliuk,Ukraine,5/1/1978,,0,0,0,Men's Eight
4790,Eleftherios Konsolas,Greece,12/17/1988,,0,0,0,Men's Lightweight Double Sculls
4791,Irina Konstantinova-Bontemps,Bulgaria,7/10/1976,Sofia (BUL),0,0,0,Women's RS-X
4792,Pavlos Kontides,Cyprus,2/11/1990,LEMESOS (CYP),0,0,0,Men's Laser
4793,Sofya Konukh,Russia,3/9/1980,,0,0,0,Women's Water Polo
4794,Marek Konwa,Poland,3/11/1990,ZIELONA GORA,0,0,0,Men's Cross-country
4795,Tina Konyot,USA,9/12/1961,Hollywood,0,0,0,"Individual Dressage, Team Dressage, CALECTO V"
4796,Jacheol Koo,SouthKorea,2/27/1989,,0,0,0,Men's Football
4797,Kien Keat Koo,Malaysia,9/18/1985,PERAK,0,0,0,Men's Doubles
4798,Jiri Kopac,CzechRepublic,2/23/1982,,0,0,0,Men's Lightweight Four
4799,Marko Kopljar,Croatia,2/12/1986,,0,0,0,Men's Handball
4800,Pavol Kopp,Slovakia,12/27/1978,Martin (SVK),0,0,0,"Men's 50m Pistol, Men's 10m Air Pistol"
4801,Daria Korczynska,Poland,7/30/1981,Kolobrzeg,0,0,0,Women's 4 x 100m Relay
4802,Linn-Kristin Koren,Norway,8/1/1984,,0,0,0,Women's Handball
4803,Oliver Korn,Germany,6/10/1984,,0,0,0,Men's Hockey
4804,Sergei Kornilenko,Belarus,6/14/1983,,0,0,0,Men's Football
4805,Larisa Korobeynikova,Russia,26/03/1987,,0,0,0,Women's Team Epee
4806,Daria Korobova,Russia,2/7/1989,Moscow Region,0,0,0,Women's Teams
4807,Adam Korol,Poland,8/20/1974,,0,0,0,Men's Quadruple Sculls
4808,Mariya Koroleva,USA,4/10/1990,Yaroslavl,0,0,0,Women's Duets
4809,Ilya Korotkov,Russia,12/6/1983,Gorkiy,0,0,0,Men's Javelin Throw
4810,Evgeny Korotyshkin,Russia,4/30/1983,Moscow,0,0,0,"Men's 100m Butterfly, Men's 4x100m Medley Relay"
4811,Alexey Korovashkov,Russia,4/1/1992,UKRAINA REGION,0,0,0,Men's Canoe Double (C2) 1000m
4812,Merja Korpela,Finland,5/15/1981,SOINI (FIN),0,0,0,Women's Hammer Throw
4813,Andrei Korshunov,Russia,8/22/1965,Kuybyshev,0,0,0,"Individual Eventing, FABIY"
4814,Lee-El KORSIZ,Israel,3/25/1984,HADERA (ISR),0,0,0,Women's RS-X
4815,Ilona Korstin,Russia,5/30/1980,,0,0,0,Women's Basketball
4816,Pawel Korzeniowski,Poland,7/9/1985,Oswiecim,0,0,0,"Men's 200m Butterfly, Men's 4x100m Medley Relay"
4817,Maxim Kosarev,Russia,7/20/1969,Moscow,0,0,0,Men's Trap
4818,Birgit Koschischek,Austria,5/22/1987,Wien (AUT),0,0,0,Women's 100m Butterfly
4819,Alexander Kosenkow,Germany,3/14/1977,TOKMAK (KGZ),0,0,0,Men's 4 x 100m Relay
4820,Vincent Kiplangat Kosgei,Kenya,11/11/1985,Bomet (KEN),0,0,0,Men's 400m Hurdles
4821,Viktoriya Koshel,Israel,4/14/1991,Donetsk,0,0,0,Group All-Around
4822,Tatiana Kosheleva,Russia,12/23/1988,BELORUSSIA REGION,0,0,0,Women's Volleyball
4823,Artem Kosinov,Kazakhstan,7/31/1986,TALDYKORGAN (KAZ),0,0,0,Men's 3000m Steeplechase
4824,Matias Koski,Finland,5/18/1994,Hameenlinna (FIN),0,0,0,"Men's 200m Freestyle, Men's 400m Freestyle, Men's 1500m Freestyle"
4825,Grzegorz Kosok,Poland,3/2/1986,Katowice,0,0,0,Men's Volleyball
4826,Yerkebulan Kossayev,Kazakhstan,10/30/1988,SEMEI (KAZ),0,0,0,Men's -60kg
4827,Aleksandar Stoyanov Kostadinov,Bulgaria,7/28/1988,KYUSTENDIL (BUL),0,0,0,Men's 55kg Greco-Roman
4828,David Kostelecky,CzechRepublic,5/12/1975,Brno  (CZE),0,0,0,Men's Trap
4829,Ekaterina Kostetskaya,Russia,12/31/1986,Leningrad,0,0,0,Women's 1500m
4830,Olena Kostevych,Ukraine,4/14/1985,Khabarovsk,0,0,2,"Women's 10m Air Pistol, Women's 25m Pistol"
4831,Adriana Kostiw,Brazil,3/16/1974,Sao Paulo (BRA),0,0,0,Women's Laser Radial
4832,Pavle Kostov,Croatia,9/28/1987,ZADAR (CRO),0,0,0,Men's 49er
4833,Boyanka Kostova,Azerbaijan,5/10/1993,Plovdiv,0,0,0,Women's 58kg
4834,Singh Kothajit,India,8/17/1992,,0,0,0,Men's Hockey
4835,Aleksandra Kotlyarova,Uzbekistan,10/10/1988,Samarkand (UZB),0,0,0,Women's Triple Jump
4836,Rene Philippe Kouassi,CoteIvoire,12/14/1979,ADZOPE,0,0,0,Men's Individual
4837,Wael Koubrosli,Lebanon,6/12/1988,Beirut (LIB),0,0,0,Men's 100m Breaststroke
4838,Sviatlana Kouhan,Belarus,8/26/1980,NEMANITSA,0,0,0,Women's Marathon
4839,Petr Koukal,CzechRepublic,12/14/1985,HOROVICE,0,0,0,Men's Singles
4840,Denis Koulakov,Russia,11/21/1982,Chelyabinsk,0,0,0,Men's 10m Air Pistol
4841,Audrey Koumba,Gabon,4/8/1989,LIBREVILLE (GAB),0,0,0,Women's -78kg
4842,Tandjigora Koumba Abdoulaye,Gabon,4/6/1990,,0,0,0,Men's Football
4843,Cheikhou Kouyate,Senegal,12/21/1989,,0,0,0,Men's Football
4844,Nikola Kovacevic,Serbia,2/14/1983,Kraljevo (SRB),0,0,0,Men's Volleyball
4845,Uros Kovacevic,Serbia,5/6/1993,Kraljevo (SRB),0,0,0,Men's Volleyball
4846,Katalin Kovacs,Hungary,2/29/1976,,0,0,0,"Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m"
4847,Sarolta Kovacs,Hungary,3/12/1991,TAPOLCA (HUN),0,0,0,Women's Modern Pentathlon
4848,Tamas Kovacs,Hungary,9/18/1983,HODMEZOVASARHELY (HUN),0,0,0,Men's Marathon
4849,Zsofia Kovacs,Hungary,2/7/1988,Gyongyos (HUN),0,0,0,Women's Triathlon
4850,Lyudmyla Kovalenko,Ukraine,6/26/1989,BERDYCHYV,0,0,0,Women's 5000m
4851,Nazar Kovalenko,Ukraine,2/9/1987,VINNYTSA REGION,0,0,0,Men's 20km Race Walk
4852,Sergei Kovalenko,Russia,2/5/1970,VOLYNSK (),0,0,0,Men's 50m Rifle Prone
4853,Evgeny Kovalev,Russia,3/6/1989,Moscow,0,0,0,Men's Team Pursuit
4854,Ivan Kovalev,Russia,7/26/1986,Sverdlovsk,0,0,0,Men's Team Pursuit
4855,Nikolay Kovalev,Russia,10/28/1986,,0,0,1,"Men's Individual Sabre, Men's Team Sabre"
4856,Ainars Kovals,Latvia,11/21/1981,Riga (LAT),0,0,0,Men's Javelin Throw
4857,Mariia Kovtunovskaia,Russia,12/19/1988,Gorkiy,0,0,0,Women's Water Polo
4858,Yoann Kowal,France,5/28/1987,Nogent,0,0,0,Men's 1500m
4859,Katarzyna Kowalska,Poland,4/7/1985,LIPNO,0,0,0,Women's 3000m Steeplechase
4860,Kevin Kowalyk,Canada,9/27/1980,,0,0,0,Men's Double Sculls
4861,Danuta Kozak,Hungary,1/11/1987,,0,0,0,"Women's Kayak Single (K1) 500m, Women's Kayak Four (K4) 500m"
4862,Ayman Kozhakhmetova,Kazakhstan,4/23/1991,TALDYKORGAN (KAZ),0,0,0,Women's 20km Race Walk
4863,Sholpan Kozhakhmetova,Kazakhstan,4/23/1991,TALDYKORGAN (KAZ),0,0,0,Women's 20km Race Walk
4864,Anastasiia Kozhenkova,Ukraine,1/19/1986,,1,0,0,Women's Quadruple Sculls
4865,Aleksei Kozlov,Belarus,7/11/1989,,0,0,0,Men's Football
4866,Kacper Kozlowski,Poland,12/7/1986,Olsztyn,0,0,0,Men's 4 x 400m Relay
4867,Dominik Kozma,Hungary,4/10/1991,DUNFERMLINE (HUN),0,0,0,"Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
4868,Primoz Kozmus,Slovenia,9/30/1979,Novo Mesto (SLO),0,0,0,Men's Hammer Throw
4869,Adzo Kpossi,Togo,1/25/1999,Lome (TOG),0,0,0,Women's 50m Freestyle
4870,Marek Krajcovic,Slovakia,8/3/1992,,0,0,0,Men's Kayak Double (K2) 1000m
4871,Iurii Krakovetskii,Kyrgyzstan,8/27/1992,Bishkek (KGZ),0,0,0,Men's +100kg
4872,Milka Kraljev,Argentina,11/8/1982,,0,0,0,Women's Lightweight Double Sculls
4873,Matija Kranjc,Slovenia,6/12/1984,Ljubljana (SLO),0,0,0,Men's Javelin Throw
4874,Sabine Krantz,Germany,2/6/1981,Potsdam,0,0,0,Women's 20km Race Walk
4875,Vladimir Krasnov,Russia,8/19/1990,Irkutsk Region,0,0,0,Men's 4 x 400m Relay
4876,Franciela Krasucki,Brazil,4/26/1988,Valinhos (BRA),0,0,0,Women's 4 x 100m Relay
4877,Gesa Felicitas Krause,Germany,8/3/1992,EHRINGSHAUSEN,0,0,0,Women's 3000m Steeplechase
4878,Anna Kravchenko,Ukraine,6/25/1986,,0,0,0,Women's Double Sculls
4879,Kalinikos Kreanga,Greece,3/8/1972,Bistrita,0,0,0,Men's Singles
4880,Jan Kreisinger,CzechRepublic,9/16/1984,ZATEC (CZE),0,0,0,Men's Marathon
4881,Peter Kretschmer,Germany,2/15/1992,,0,0,0,Men's Canoe Double (C2) 1000m
4882,Roman Kreuziger,CzechRepublic,5/6/1986,Moravska Trebova (CZE),0,0,0,Men's Road Race
4883,Kamil Kuczynski,Poland,3/23/1985,PLOCK,0,0,0,"Men's Keirin, Men's Team Sprint"
4884,Ruslan Kudayev,Uzbekistan,5/8/1980,,0,0,0,Men's Individual Epee
4885,Yuriy Kudinov,Kazakhstan,2/27/1979,Moscow,0,0,0,Men's 10km Marathon
4886,Jan Kudlicka,CzechRepublic,4/29/1988,Opava (CZE),0,0,0,Men's Pole Vault
4887,Valeriy Kudryashov,Ukraine,2/24/1984,MARIUPOL,0,0,0,Men's Laser
4888,Besik Kudukhov,Russia,8/15/1986,YUZHNAYA OSETIA (),0,0,0,Men's 60kg Freestyle
4889,Sviatlana Kudzelich,Belarus,5/7/1987,PINSK,0,0,0,Women's 3000m Steeplechase
4890,Jochen Kuehner,Germany,10/15/1980,,0,0,0,Men's Lightweight Four
4891,Martin Kuehner,Germany,10/15/1980,,0,0,0,Men's Lightweight Four
4892,Andreas Kuffner,Germany,3/11/1987,,1,0,0,Men's Eight
4893,Anne Kuhm,France,12/17/1996,HAGUENAU,0,0,0,"Women's Team, Women's Qualification"
4894,Simone Kuhn,Switzerland,9/2/1980,,0,0,0,Women's Beach Volleyball
4895,Corinna Kuhnle,Austria,7/4/1987,Wien (AUT),0,0,0,Women's Kayak (K1)
4896,Takumi Kuki,Japan,5/18/1992,ARITA,0,0,0,Men's 4 x 100m Relay
4897,Yolane Kukla,Australia,9/29/1995,AUCHENFLOWER (AUS),1,0,0,Women's 4x100m Freestyle Relay
4898,Ariana Kukors,USA,6/1/1989,Federal Way,0,0,0,Women's 200m Individual Medley
4899,Mykola Kuksenkov,Ukraine,6/2/1989,Kyiv,0,0,0,"Men's Individual All-Around, Men's Team, Men's Qualification"
4900,Mikhail Kukushkin,Kazakhstan,12/26/1987,,0,0,0,Men's Singles
4901,Piotr Kula,Poland,5/23/1987,Olsztyn,0,0,0,Men's Finn
4902,Iryna Kulesha,Belarus,6/26/1986,OBEROVSCHINA,0,0,1,Women's 75kg
4903,Roman Kulesza,Poland,3/2/1983,GDANSK,0,0,0,"Men's Individual All-Around, Men's Qualification"
4904,Piotr Kuleta,Poland,6/27/1989,,0,0,0,"Men's Canoe Single (C1) 1000m, Men's Canoe Single (C1) 200m"
4905,Jaroslav Kulhavy,CzechRepublic,1/8/1985,Usti Nad Orlici (CZE),0,0,0,Men's Cross-country
4906,Petra Kulichova,CzechRepublic,9/13/1984,,0,0,0,Women's Basketball
4907,Tamas Kulifai,Hungary,5/4/1989,,0,0,0,Men's Kayak Four (K4) 1000m
4908,Serhiy Kulish,Ukraine,4/17/1993,CHERKASY,0,0,0,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
4909,Anna Kulkina,Kazakhstan,3/19/1986,Almaty (KAZ),0,0,0,Women's Duets
4910,Saki Kumagai,Japan,10/17/1990,,0,0,0,Women's Football
4911,Caroline Kumahara,Brazil,7/27/1995,Sao Paulo (BRA),0,0,0,"Women's Singles, Women's Team"
4912,Amit Kumar,India,12/15/1993,SONEPAT (IND),0,0,0,Men's 55kg Freestyle
4913,Sandeep Kumar,India,8/12/1988,,0,0,0,Men's Lightweight Double Sculls
4914,Sushil Kumar,India,5/26/1983,DELHI (IND),0,0,0,Men's 66kg Freestyle
4915,Vijay Kumar,India,8/19/1985,HARSOUR (IND),0,1,0,"Men's 25m Rapid Fire Pistol, Men's 10m Air Pistol"
4916,Deepika Kumari,India,6/13/1994,RATU RANCHI,0,0,0,"Women's Individual, Women's Team"
4917,Sahana Kumari,India,3/6/1982,SOMESHWAR (IND),0,0,0,Women's High Jump
4918,Cheng-Wei Kuo,Taipei,11/9/1983,TAOYUAN,0,0,0,"Men's Individual, Men's Team"
4919,Hsing-Chun Kuo,Taipei,11/26/1993,ILAN,0,0,0,Women's 58kg
4920,Zaur Kuramagomedov,Russia,3/30/1988,KABARDINO,0,0,0,Men's 60kg Greco-Roman
4921,Olga Kurban,Russia,12/16/1987,Irkutsk,0,0,0,Women's Heptathlon
4922,Kurban Kurbanov,Uzbekistan,3/21/1985,FEDERATION OF RUSSIA,0,0,0,Men's 96kg Freestyle
4923,Bartosz Kurek,Poland,8/29/1988,Walbrzych,0,0,0,Men's Volleyball
4924,Maria Kurjo,Germany,12/10/1989,Berlin,0,0,0,Women's 10m Platform
4925,Bruna Kuroiwa Yamamoto Leal,Brazil,4/24/1993,Rio De Janeiro (BRA),0,0,0,"Women's Team, Women's Qualification"
4926,Narumi Kurosu,Japan,10/22/1991,SHIMOTSUMA,0,0,0,Women's Modern Pentathlon
4927,Mike Kurt,Switzerland,4/2/1980,SUMISWALD,0,0,0,Men's Kayak (K1)
4928,Lajos Kurthy,Hungary,10/22/1986,MOHACS (HUN),0,0,0,Men's Shot Put
4929,Amanda Kurtovic,Norway,7/25/1991,,0,0,0,Women's Handball
4930,Kurt Kuschela,Germany,9/30/1988,,0,0,0,Men's Canoe Double (C2) 1000m
4931,Natalya Kushch-Mazuryk,Ukraine,3/5/1983,Donetsk,0,0,0,Women's Pole Vault
4932,Denys Kushnirov,Ukraine,12/12/1992,Dnipropetrovsk,0,0,0,Men's 10m Air Pistol
4933,Diaz Kusumawardani,Indonesia,11/2/1995,SURABAYA (INA),0,0,0,Women's 10m Air Rifle
4934,Geofrey Kusuro,Uganda,2/12/1989,Mutishet (UGA),0,0,0,Men's 5000m
4935,Mateusz Kusznierewicz,Poland,4/29/1975,Warszawa,0,0,0,Men's Star
4936,Phobay Kutu-Akoi,Liberia,12/3/1987,Monrovia (LBR),0,0,0,Women's 100m
4937,Marina Kuzina,Russia,7/19/1985,,0,0,0,Women's Basketball
4938,Natalia Kuziutina,Russia,5/8/1989,BRIANSK,0,0,0,Women's -52kg
4939,Igor Kuzmenok,Belarus,7/6/1990,,0,0,0,Men's Football
4940,Afanasijs Kuzmins,Latvia,3/22/1947,BIKERNIEKI PARISH (LAT),0,0,0,Men's 25m Rapid Fire Pistol
4941,Evgeny Kuznetsov,Russia,4/12/1990,STAVROPOL,0,1,0,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
4942,Mikhail Kuznetsov,Russia,5/14/1985,Nizhniy Tagil,0,0,0,Men's Canoe Double (C2)
4943,Viktor Kuznetsov,Ukraine,7/17/1986,ZAPORIZHZHIA,0,0,0,Men's Long Jump
4944,Sara Kvaerno,Norway,7/28/1982,Namsos,0,0,0,Women's Singles
4945,Illya Kvasha,Ukraine,3/5/1988,MYKOLAIV,0,0,0,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
4946,Petra Kvitova,CzechRepublic,3/8/1990,,0,0,0,Women's Singles
4947,Andriy Kvyatkovskyy,Ukraine,2/2/1990,KALUSH,0,0,0,Men's 66kg Freestyle
4948,Yasmin Kwadwo,Germany,11/9/1990,RECKLINGHAUSEN,0,0,0,Women's 4 x 100m Relay
4949,Pauline Kwalea,SolomonIslands,2/29/1988,Honiara (SOL),0,0,0,Women's 100m
4950,Michal Kwiatkowski,Poland,6/2/1990,CHELMZA,0,0,0,Men's Road Race
4951,Song Hwa Kwon,NorthKorea,2/5/1992,,0,0,0,Women's Football
4952,Un Sil Kwon,NorthKorea,9/17/1983,S.HAMGYONG,0,0,0,Women's Individual
4953,Maryna Kyiko,Ukraine,1/7/1987,Kyiv,0,0,0,Women's Trampoline
4954,Kaylyn Mckenzie Kyle,Canada,10/6/1988,,0,0,0,Women's Football
4955,Mark Kyle,Ireland,6/5/1973,Dublin (IRL),0,0,0,"Individual Eventing, Team Eventing, COOLIO"
4956,Erik Kynard,USA,2/3/1991,Toledo,0,0,0,Men's High Jump
4957,Alexia Kyriazi,Greece,12/15/1995,Amarousio (GRE),0,0,0,Group All-Around
4958,Maung Kyu,Myanmar,8/11/1970,MYAUNGMYA (MYA),0,0,0,Men's 10m Air Pistol
4959,Kaeo Pongprayoon,Thailand,3/28/1980,KAMPHAENG PHET (THA),0,0,0,Men's Light Fly (49kg)
